Titulo,fecha_publicacion,Vistas,Likes,Dislikes,Comentarios
"I Tipped Waitresses $20,000",2018-03-30T21:09:03Z,14593716,352888,0,20171
Walking Into Random Stores With 100 Dinosaurs,2018-03-22T22:43:02Z,32286616,890226,0,45734
I Built A Mansion Using Only Cardboard Boxes,2018-03-20T22:50:00Z,25435610,576117,0,24221
Breaking Glass Using Only Megaphones,2018-03-17T22:22:47Z,53641870,1417724,0,77169
Tying My Shoes In Every State (World Record),2018-03-16T22:09:02Z,17581226,441151,0,42885
"I Dropped $20,000 From A Drone",2018-03-08T00:13:02Z,7707589,249613,0,17655
"Donating $10,000 To Fortnite Streamers If They Win",2018-03-03T23:21:02Z,11291418,274817,0,16051
Trying To Fly Using Only Leaf Blowers,2018-03-01T23:09:03Z,18229898,431470,0,29593
"Giving 3,000,000 Pennies To My 3,000,000th Subscriber",2018-02-22T23:14:03Z,8665651,234206,0,22541
"I Donated $30,000 To My Favorite Twitch Streamer (ninja)",2018-02-21T23:19:01Z,36600223,865239,0,39686
"I Gave $20,000 To Random Homeless People",2018-02-17T00:40:00Z,47250283,1329429,0,75145
I Bought An Expensive Car Using Only $1 Bills,2018-02-13T23:10:01Z,37061324,1081094,0,36533
I Bought The World's Most Expensive Apps ($10k),2018-02-08T23:35:00Z,26898000,770443,0,26227
We Delivered 100 Pizzas To Random Houses,2018-02-02T23:12:01Z,9078966,228591,0,11402
"I Donated $30,000 To A Random Twitch Streamer (world record)",2018-01-28T00:11:02Z,32621945,1058579,0,56329
I Bought A Car Using Only Pennies,2018-01-25T23:10:03Z,26284664,722240,0,39712
I Bought One Snickers Bar From Every Walmart,2018-01-13T23:15:01Z,44177888,1125492,0,72774
Donating Big Donations To Twitch Streamers!!!,2018-01-11T22:37:00Z,27486378,581824,0,37356
I Can't Believe I Found This Stuff On Amazon..,2017-12-22T23:19:10Z,30589065,1203829,0,24547
"Saying ""Keep Net Neutrality"" For 10 Hours",2017-12-17T20:37:34Z,2138156,79889,0,10082
Life Hacks You Need To Know,2017-12-08T22:49:10Z,7299012,203245,0,11123
"Can 100,000 Pieces Of Paper Stop A Bullet?",2017-12-06T22:46:59Z,25831986,486680,0,57625
"Giving My Mom $100,000 (Proudest Day Of My Life)",2017-12-02T21:10:08Z,30598863,1499834,0,44509
"2,256 Miles In One Uber Ride (World Record)",2017-10-28T22:30:00Z,41927468,1093015,0,43822
i'm really sorry,2017-10-26T21:30:00Z,5714521,205252,0,10631
Hi Me In Two Years (Made Two Years Ago),2017-10-04T21:30:00Z,13462446,604095,0,39938
What Actually Happens When You Click On Spam Ads,2017-10-01T21:01:05Z,3778560,154203,0,6404
"Tipping Uber Drivers $10,000",2017-08-30T22:40:02Z,4577514,127376,0,8483
Going To The Connor McGregor fight!,2017-08-28T20:31:04Z,6007914,231286,0,11691
"Tipping Pizza Delivery Guys $10,000",2017-08-23T21:44:24Z,22017807,693271,0,41205
"Microwaving my iPhone, what happens next might shock you..",2017-08-20T19:37:51Z,2701603,123640,0,8962
"Saying Logan Paul 100,000 Times",2017-08-19T14:00:58Z,22856922,922933,0,112007
"Donating $10,000 To Random Twitch Streamers",2017-08-15T19:20:09Z,10750411,226354,0,18114
Breaking The Law,2017-07-09T21:20:50Z,31720720,834712,0,34824
"Giving Homeless People $1,000 (Not Clickbait)",2017-06-28T22:00:02Z,6424587,224758,0,19424
